coding,beta,se,pvalue,n,-Log10P,protein
1607,-0.0472047602310253,0.00966705062149647,1.04960661427181e-06,31774,5.9789734411804,LRCH4
1608,0.0101407505989614,0.0098720117523755,0.304323581468981,31948,0.516664393665317,LRFN2
1609,-0.0331650828019307,0.00943709032966498,0.000441451888885428,32862,3.35511662058043,LRG1
1610,-0.0451903231465881,0.0105828492166599,1.95834014628399e-05,36756,4.7081118728882,LRIG1
1611,-0.0488824363179737,0.00959569259600566,3.52207671761265e-07,31774,6.45320118849567,LRIG3
1612,0.0250226239647604,0.0103906099994915,0.0160365104799965,36462,1.79489012758259,LRP1
1613,-0.0939971121317691,0.0104372869747903,2.24024033536198e-19,36445,18.6497053875933,LRP11
1614,-0.00164656857269214,0.00990704391386289,0.867999191883948,31948,0.0614806791558877,LRP2
1615,0.00350089743351181,0.00992346068448625,0.724248229440774,31948,0.140112557836374,LRP2BP
1616,-0.0718328419908804,0.0106635009157387,1.64825761085744e-11,36821,10.7829749102175,LRPAP1
1617,-0.0827831497032046,0.0103258299389297,1.11482057464266e-15,36462,14.9527950247351,LRRC25
1618,0.0142526612515594,0.00991974172731868,0.150785077230893,32710,0.821641637225955,LRRC37A2
1619,-0.0464530504731793,0.00957598341279407,1.23421657111095e-06,31948,5.90860862686205,LRRC38
1620,-0.0214173920234273,0.00999824563301551,0.0321915632214494,32843,1.49225793347389,LRRC59
1621,-0.0183283311659965,0.00993537576543014,0.0650822712300941,32700,1.18653729953534,LRRFIP1
1622,0.0112695467520757,0.010365592124186,0.276952524874343,35957,0.557594671196134,LRRN1
1623,0.00686816664264981,0.00990162149557325,0.487912673155693,31948,0.311657901276736,LRTM1
1624,-0.0115704118893008,0.00944093187055782,0.220373763739861,32797,0.656840111005554,LRTM2
1625,-0.00492216229160545,0.010639677633744,0.643637244686051,35870,0.191358832979429,LSM1
1626,0.0186930863483748,0.00990403038082531,0.0591125404571571,32260,1.22832037574135,LSM8
1627,-0.0539025371111492,0.0104238783123059,2.33992924187477e-07,36488,6.63079727520864,LSP1
1628,-0.0236466180518905,0.0105189831096331,0.0245824773075405,36488,1.60937435306951,LTA
1629,-0.0252793880369503,0.0106047239614507,0.0171406137328863,36877,1.76597363188575,LTA4H
1630,-0.0277249585943389,0.00983880014976994,0.00483647596132633,32700,2.3154709664535,LTB
1631,-0.0322630899058718,0.00914990714081638,0.000422309172727102,36846,3.37436948541975,LTBP2
1632,-0.0945746679176968,0.00988346608465735,1.14601594781987e-21,35870,20.9408093387369,LTBP3
1633,-0.0745179956799621,0.0103077094047723,4.9489978136813e-13,36265,12.3054827380471,LTBR
1634,-0.0173910846984293,0.0106520416442348,0.102550817581499,35957,0.989060872889782,LTO1
1635,-0.0320237965992088,0.0096977099865477,0.00096031856482981,32700,3.01758467529614,LUZP2
1636,0.0122798410947829,0.0106549897856644,0.249124630307183,36143,0.603583332769808,LXN
1637,0.0241882803601182,0.0104389839565409,0.0205032483873324,36281,1.68817732699632,LY6D
1638,-0.0229216433807641,0.0107152315328533,0.0324289639262998,36488,1.48906692638958,LY75
1639,-0.024054674652442,0.0105674514945741,0.0228339757234133,36108,1.64141846501369,LY9
1640,-0.0339663243465374,0.0104884854068044,0.0012029349927007,36324,2.91975784154977,LY96
1641,0.015805854873408,0.0106069021804189,0.136194102000786,35870,0.86584169950088,LYAR
1642,-0.0463119635904957,0.0107954010561555,1.79155858502511e-05,36462,4.7467689855793,LYN
1643,-0.00918676096373096,0.0106272033455278,0.387342651849805,35810,0.411904678477048,LYPD1
1644,0.00574494634286987,0.0107165685825805,0.591906006688895,36398,0.227747252765762,LYPD3
1645,-0.0280942061719851,0.0105588606515255,0.0078007725056293,35870,2.10786238726855,LYPD8
1646,0.00781787448375879,0.00991098434964374,0.430229482685641,31801,0.366299831677625,LYPLA2
1647,-0.0224815634509363,0.00987244898785351,0.0227807309903688,31948,1.64243234434867,LYSMD3
1648,0.00180721069048339,0.00978290458316559,0.853440774219778,32862,0.0688266120091239,LYVE1
1649,-0.0116647399590776,0.00884213591465302,0.187104452521055,31687,0.727915877479593,LYZL2
1650,-0.0360448939018176,0.00988653876007205,0.00026692465176981,32090,3.57361131518514,LZTFL1
1651,-0.0340571779075269,0.00988609646141929,0.000571882449039446,32002,3.24269323166155,M6PR
1652,-0.0912141768182288,0.0100034180144,8.01290748902556e-20,36207,19.0962098712659,MAD1L1
1653,-0.00724619692881138,0.0106480449579414,0.496180288375016,35870,0.304360492824795,MAEA
1654,-0.00399256709764158,0.00991427009688199,0.687164911478664,31948,0.16293902487567,MAG
1655,0.00203312126961363,0.00994993486593944,0.838092906117472,32260,0.0767078353343251,MAGEA3
1656,-0.032835962764987,0.0106519801680642,0.00205345517733612,35870,2.68751477245388,MAGED1
1657,-0.0514497072450558,0.00964553911906421,9.6685403562104e-08,32843,7.01463908569896,MAMDC2
1658,0.0259554519846388,0.00912406898502941,0.0044477622075979,32700,2.35185843965636,MAMDC4
1659,0.0218193049934062,0.00941476514087827,0.0204793982009272,32002,1.68868280950561,MAN1A2
1660,-0.0487397876799827,0.00974739306432141,5.75388864978384e-07,32843,6.24003854690387,MAN2B2
1661,-0.0174261483992911,0.00987948396853629,0.0777631158478828,31687,1.10922634622438,MANEAL
1662,-0.0438642928773797,0.0109572340127983,6.26073300106983e-05,36650,4.20337481699984,MANF
1663,-0.0209279445868865,0.010720774247511,0.05093480663264,36681,1.29298533824494,MANSC1
1664,-0.0397546360468082,0.00964886778744063,3.79609785932828e-05,31774,4.42066260045484,MANSC4
1665,0.00546684143790235,0.00989717252669442,0.580702899453242,31801,0.236046005526173,MAP1LC3A
1666,-0.00613335522164079,0.0098775254668107,0.534643254027435,31774,0.271935908606909,MAP1LC3B2
1667,-0.0526635087504746,0.0099451421079075,1.19520260205644e-07,32794,6.92255847003209,MAP2
1668,-0.0420434201145898,0.00992246795035808,2.26950153470462e-05,32710,4.64406951923815,MAP2K1
1669,-0.0173998704399096,0.0108960104653801,0.110296022027057,36488,0.957440150686303,MAP2K6
1670,-0.00826808062806468,0.0105955504436632,0.435198769435547,35870,0.361312341315637,MAP3K5
1671,-0.0381138457115589,0.0107954254223595,0.000415202542154777,36267,3.38173999610273,MAP4K5
1672,-0.0118360204344314,0.00984913570766975,0.229476408326571,31687,0.639261956140817,MAPK13
