coding,beta,se,pvalue,n,protein,-Log10P
2655,0.00168433773348828,0.00128514813205047,0.190019312870808,9329,TFPI,0.721202256694692
2656,-0.00260683107773767,0.00124996042325639,0.0370480024087223,9429,TFPI2,1.43123520377796
2657,-0.00104648151472569,0.00131819770749101,0.42728945423589,9405,TFRC,0.369277825702996
2658,-0.00578359414395407,0.00124305076920327,3.32711905424726e-06,8175,TG,5.47793165850072
2659,-0.00770660590882209,0.0012831737883311,1.97371111454764e-09,9369,TGFA,8.70471641323634
2660,-0.00120095924136758,0.00134524779794624,0.372018063044017,9469,TGFB1,0.429435972779678
2661,-0.000776761686171657,0.00129441359850685,0.548464449571202,8175,TGFB2,0.260851517324312
2662,-0.00038008060020392,0.00130037408897881,0.770074811969431,9298,TGFBI,0.113467081519405
2663,-0.00273056892123592,0.00126222661725801,0.0305480834974737,7990,TGFBR1,1.51501603100506
2664,-0.00657560561571727,0.00121290407368391,6.06031367690923e-08,9445,TGFBR2,7.21750489652263
2665,0.00733289418828624,0.00133600431561475,4.15405392848798e-08,9487,TGFBR3,7.38152786969482
2666,-0.00166999204890006,0.00135173968752466,0.216698169636539,9366,TGM2,0.664144756977866
2667,-0.00349605001900235,0.00123436352888527,0.00463314233638553,8226,TGOLN2,2.33412435747928
2668,-0.000318580326666182,0.0012757716694957,0.802813638720745,7918,THAP12,0.0953852580444852
2669,0.00290767072003986,0.00127035272188342,0.022109139838577,9378,THBD,1.65542815342428
2670,-0.00131029726769244,0.00131040161062117,0.31737478014194,9416,THBS2,0.498427586971078
2671,0.000249228920016033,0.00127501633362334,0.845028359912107,9369,THBS4,0.0731287154921352
2672,0.00418885684034264,0.0012662849825183,0.000943244335668782,9336,THOP1,3.0253757941261
2673,0.00127168180513758,0.00130223581772849,0.328823913382408,9234,THPO,0.483036606361979
2674,-0.000408144877452914,0.00125717276746358,0.745452262033015,7974,THRAP3,0.127580163075457
2675,0.00183081780490429,0.00125943260225893,0.146073436745139,7925,THSD1,0.835428752743813
2676,0.000160972474067244,0.00127951230643813,0.899887267472797,8161,THTPA,0.0458118929840314
2677,-0.00876192776465403,0.00123325057245186,1.29233534975064e-12,9496,THY1,11.8886247760868
2678,0.000979504873466136,0.00130950668778956,0.454482189779338,9172,TIA1,0.342483131214533
2679,-0.0012239432918139,0.00135584830220428,0.366700640609855,9487,TIE1,0.435688331345418
2680,-0.0011941582510017,0.00132722229340421,0.368280843052914,9226,TIGAR,0.433820871350873
2681,-0.00215881506262605,0.00127551701574591,0.0905889826736501,8069,TIGIT,1.04292461749963
2682,0.00196600235014589,0.00132020498854219,0.136477657933976,9403,TIMD4,0.864938438954087
2683,-0.00195026012348776,0.00129529091237475,0.132194518937376,8211,TIMM10,0.878786551239183
2684,0.000563866230844189,0.00128516702738184,0.660854712147633,8210,TIMM8A,0.17989400896826
2685,-0.00227757006988413,0.00125654145154255,0.0699305538369845,9245,TIMP1,1.15533303221459
2686,-0.00178244486008662,0.00126957439410718,0.16036555589877,8211,TIMP2,0.794888905936235
2687,0.00164144126717927,0.00135385934584926,0.225383398878295,9446,TIMP3,0.647078076049759
2688,-0.000182084565336241,0.00124339872352578,0.883576394611391,9416,TIMP4,0.0537558951398461
2689,-0.000202317956362153,0.00127763258658862,0.874181452373338,9353,TINAGL1,0.0583984122336512
2690,0.00170340636734402,0.00135557884322692,0.208933384358671,9445,TJAP1,0.679992160860475
2691,-0.00253350838220898,0.00127088701286202,0.046241268716795,7962,TJP3,1.33497025873233
2692,0.000462141638122812,0.0012625905766799,0.714354898302731,8069,TK1,0.146085972983695
2693,-0.00141653112599868,0.00123881124940533,0.252881970702631,7990,TLR1,0.597082132709669
2694,0.000610504755184967,0.00128118309528912,0.633719454067409,8069,TLR2,0.198102960596958
2695,0.000542867372510324,0.00136125057074298,0.690049223476104,9481,TLR3,0.161119928506845
2696,-0.000909845954343364,0.00128725493266143,0.479704584328779,7990,TLR4,0.319026131150157
2697,-0.000572551446449215,0.00128077917676988,0.654862859848766,7998,TMCO5A,0.183849639621777
2698,-0.0025244461980678,0.00128350517453241,0.049236218603844,8069,TMED1,1.30771530875749
2699,-2.32259731012793e-05,0.00126419563061327,0.985342442062983,7974,TMED10,0.0064128102613471
2700,-0.0014815937240059,0.00126964093366717,0.243269901663817,7974,TMED4,0.613911620415328
2701,0.000406214564939293,0.00127165533579389,0.74940283798212,8195,TMED8,0.125284666569629
2702,-0.000579595957537377,0.00128185885543931,0.651170990868412,8175,TMEM106A,0.186304955149561
2703,0.000964098429258956,0.00126351217026618,0.445467677683615,8007,TMEM132A,0.351183802093773
2704,-0.00203349603482393,0.00126318119015318,0.107475399903263,8206,TMEM25,0.968690930249501
2705,0.0020513299726987,0.00126669006105776,0.105392205063893,7934,TMOD4,0.977191508885572
2706,-0.00229796442769033,0.00126938360599399,0.0702871179779144,7962,TMPRSS11B,1.15312426393831
2707,-0.00342057270522199,0.00124412674636898,0.00598398225553131,8198,TMPRSS11D,2.22300970296717
2708,0.00297341433738303,0.00133820254227587,0.0263107575089634,9370,TMPRSS15,1.57986664802882
2709,-0.00508838740577612,0.00129643759083999,8.73920089828862e-05,9305,TMPRSS5,4.05852827689992
2710,-0.00119771544089205,0.00132793922709024,0.367114274625278,9416,TMSB10,0.435198728352288
2711,0.0012734209249848,0.00132818716807183,0.337701245402992,9403,TNC,0.471467337734
2712,-0.00413488549457487,0.00127856207004879,0.00122494511280239,9226,TNF,2.91188337067993
2713,0.000446333716271113,0.00127253448505615,0.72578951500791,8195,TNFAIP2,0.1391893100499
2714,0.00139105821048123,0.00132872983921897,0.295169290820758,9254,TNFAIP8,0.529928828152658
2715,0.000846956154411188,0.00126016538941099,0.50153990193075,8036,TNFAIP8L2,0.299694509305619
2716,-0.00591079328275277,0.00123118315266852,1.60405811774439e-06,9344,TNFRSF10A,5.79477990054161
2717,-0.00480561342545954,0.00114310592927766,2.6468996895914e-05,9344,TNFRSF10B,4.57726251698441
2718,-0.00354359275370372,0.00133533778465813,0.00797475554003678,9398,TNFRSF10C,2.09828262102819
2719,-0.00729730917049825,0.00126423753038599,8.07518507740653e-09,9481,TNFRSF11A,8.0928475151671
2720,-0.000666441059278824,0.00119847816209159,0.57817436703133,9404,TNFRSF11B,0.23794116639005
2721,0.0030230433575457,0.00124162494802625,0.0149206001382564,9445,TNFRSF12A,1.82621370826473
2722,-0.00669898692302633,0.00129612332588429,2.40854329804628e-07,9418,TNFRSF13B,6.61824554202816
2723,-0.00321819958255225,0.00130793347744097,0.0138916551516908,9254,TNFRSF13C,1.85724600621188
