coding,beta,se,pvalue,n,outlier_count,outlier_pvalue,heteroscedasticity_pvalue,protein,#NAME?
788,-0.002684644,0.006191785,0.664594992,34650,1,0.058728868,0.693462279,DDX1,0.177442936
789,0.000663048,0.006118111,0.913699138,33838,1,0.14365819,1.84E-07,DDX25,0.039196785
790,-0.006267261,0.00613873,0.307291299,33702,1,0.059887792,0.54028326,DDX39A,0.512449737
791,-0.001277168,0.006127759,0.834899757,33702,1,0.057881823,0.990907375,DDX4,0.078365666
792,-0.008446448,0.006163648,0.170582055,33838,1,0.069109,0.088850429,DDX53,0.768066657
793,-0.005441131,0.006543644,0.405688573,38061,1,0.40018269,9.26E-17,DDX58,0.391807225
794,-0.003910155,0.006710446,0.560100893,38749,1,0.176661141,0.090519196,DECR1,0.251733735
795,-0.032739529,0.006357598,2.62E-07,37940,1,0.230674259,1.16E-14,DEFA1_DEFA1B,6.581286882
796,-0.012865913,0.006090199,0.034645812,33447,1,0.05545008,0.020318327,DEFB103A_DEFB103B,1.460349254
797,-0.007753763,0.005678451,0.17211401,33653,1,0.040484363,5.26E-169,DEFB104A_DEFB104B,0.764183777
798,-0.008388513,0.006120872,0.170547297,33653,1,0.277620406,3.31E-06,DEFB116,0.768155158
799,-0.012399629,0.006132148,0.043177073,33653,1,0.049617619,0.101249559,DEFB118,1.364746802
800,-0.028746556,0.006158232,3.05E-06,38334,1,0.579783157,2.67E-34,DEFB4A_DEFB4B,5.515426628
801,0.006003619,0.006126185,0.327096506,33663,1,0.045881962,0.381826374,DENND2B,0.485324095
802,-0.00045991,0.006134655,0.940239715,33702,1,0.086355017,1.43E-05,DENR,0.026761408
803,-0.014066712,0.006874206,0.04073317,39166,1,0.973090336,7.02E-06,DFFA,1.390051786
804,-0.007975522,0.006106212,0.191516418,33653,1,0.1036964,6.96E-12,DGCR6,0.71779399
805,-0.003302682,0.006109953,0.588827325,33702,1,0.318653709,4.20E-06,DGKA,0.230012045
806,-0.004483797,0.006629169,0.498807387,38166,1,0.511939765,0.052103165,DGKZ,0.302067123
807,-0.016604397,0.006125368,0.006716341,33663,1,0.074584271,0.010118813,DHODH,2.172867252
808,-0.013276551,0.006139475,0.030587275,34627,1,0.053052868,5.86E-12,DHPS,1.514459212
809,-0.004169606,0.006173812,0.499445395,34728,1,0.070423609,0.250622175,DHRS4L2,0.301511987
810,0.000956777,0.006691537,0.886304286,38556,1,0.657492599,0.527972547,DIABLO,0.052417151
811,-0.000805516,0.006143209,0.895678799,33838,1,0.126934963,0.013385787,DIPK1C,0.047847706
812,0.034131078,0.005744319,2.85E-09,33976,1,0.064427656,3.72E-91,DIPK2B,8.545448353
813,-0.016645385,0.006775963,0.014032757,39130,1,3.480332716,0.898858198,DKK1,1.85285699
814,-0.028924493,0.006399594,6.21E-06,39121,1,0.008640619,4.98E-05,DKK3,5.206927866
815,-0.002852665,0.006476189,0.659588296,38522,1,1.922577534,4.39E-32,DKK4,0.180727059
816,0.002274045,0.006468397,0.725168353,38703,1,0.494579522,3.09E-77,DKKL1,0.139561157
817,0.000303481,0.006207007,0.961004663,34728,1,0.132682444,0.190988328,DLG4,0.017274505
818,-0.003171399,0.006235627,0.61104045,34740,1,0.133640622,0.231943214,DLGAP5,0.213930039
819,0.002355291,0.006520668,0.717948885,39121,1,4.55596126,0.884731672,DLK1,0.143906475
820,-0.025304581,0.006316373,6.18E-05,38977,1,0.06668371,0.036990843,DLL1,4.208864781
821,-0.007687752,0.006144035,0.2108502,33861,1,0.044019928,4.67E-16,DLL4,0.676025983
822,-0.005481429,0.006071152,0.366604173,33861,1,0.114910078,2.81E-105,DMD,0.435802595
823,0.052209235,0.005780139,1.76E-19,33861,2,0.026903506,1.39E-05,DMP1,18.7534721
824,0.003792774,0.006124393,0.535729671,33516,1,0.041987184,0.091689762,DNAJA1,0.2710543
825,-0.01101666,0.006795426,0.104985514,39037,1,1.292573376,0.010901964,DNAJA2,0.97887062
826,0.00253316,0.006175897,0.681684661,34728,1,0.038046564,2.94E-13,DNAJA4,0.166416478
827,-0.014629315,0.006646223,0.027731476,38703,1,0.638581695,1.32E-07,DNAJB1,1.55702701
828,-0.007960962,0.006188307,0.198293803,34650,1,0.117918613,5.06E-11,DNAJB14,0.702690858
829,-0.00444694,0.006059666,0.463039751,33976,1,0.03912784,4.59E-46,DNAJB2,0.334381724
830,0.004459137,0.006118025,0.466097084,33653,1,0.07456858,1.80E-06,DNAJB6,0.331523614
