coding,beta,se,pvalue,n,outlier_count,outlier_pvalue,heteroscedasticity_pvalue,protein,-LOG10P
325,-0.022741727,0.010839847,0.035914259,36318,1,0.591642972,0.599818816,CA13,1.444733084
326,0.404757902,0.009651679,2.225074e-308,36880,1,0.229303494,1.86578480630153e-17,CA14,307.6527
327,-0.035329555,0.010585568,0.00084614,36437,1,1.280540918,6.84154941601039e-49,CA2,3.0725578
328,-0.015520968,0.010654118,0.145178844,36786,1,0.761701428,8.5851089005573e-43,CA3,0.838096666
329,0.181603069,0.010667722,9.71494781369117e-65,36849,1,1.842749996,0.439621942,CA4,64.01255953
330,-0.112134896,0.009791458,2.58483239905435e-30,35898,1,0.562001383,3.49440700166272e-108,CA5A,29.58756761
331,0.20132024,0.009872158,6.33703674824029e-92,36443,2,0.008309434,7.12637653147711e-06,CA6,91.19811377
332,0.012262444,0.009961407,0.21833368,32262,1,0.066488241,9.35908038971715e-06,CA7,0.660879265
333,0.003241495,0.00987519,0.742727587,31885,1,0.07148959,2.16094202001394e-05,CA8,0.129170445
334,-0.002732248,0.01068173,0.798116706,36880,1,0.758586919,1.76076967196846e-07,CA9,0.097933599
335,-0.019772629,0.009940048,0.046688924,31950,1,0.040665737,0.584139529,CABP2,1.330786134
336,0.006236885,0.009901003,0.528748438,31803,1,0.156930918,0.177776923,CACNA1C,0.276750903
337,0.026517086,0.009900915,0.007404689,31776,1,0.208423029,2.12682765854165e-10,CACNA1H,2.130493201
338,-0.011151831,0.009914079,0.260661967,31803,1,0.057249976,0.01010312,CACNB1,0.583922332
339,-0.038819484,0.009960172,9.73955619574633e-05,32799,1,0.407357932,0.015434515,CACNB3,4.011460832
340,-0.041192169,0.009891109,3.12762698506971e-05,32030,1,0.082874678,1.58977377409805e-05,CACYBP,4.504785048
341,-0.011717808,0.009924941,0.23775351,31950,1,0.267576408,0.372689147,CADPS,0.623873063
342,-0.049049631,0.010366314,2.2355125082381e-06,36465,1,0.026998227,0.000141879,CALB1,5.650622896
343,-0.0750368,0.00962748,6.6657338983599e-15,35813,1,0.089330237,1.22064850791543e-11,CALB2,14.17615203
344,-0.036107132,0.008525739,2.29039465509328e-05,36270,1,0.073452256,1.54485893614723e-84,CALCA,4.640089678
345,0.021638182,0.009769911,0.026782175,32796,1,0.277966481,4.0942366557983e-52,CALCB,1.572154156
346,-0.014388124,0.010984393,0.190248122,36752,1,1.084065686,1.81860556405397e-10,CALCOCO1,0.720679621
347,-0.038563161,0.009847279,9.01707531277225e-05,32004,1,0.297241362,3.93667803210652e-23,CALCOCO2,4.044934303
348,0.002707026,0.009923328,0.785013206,31776,1,0.32420892,0.017130944,CALY,0.105123037
349,-0.046277633,0.010613151,1.30183478245396e-05,35873,1,0.527035155,8.0113635691784e-10,CAMKK1,4.885444129
350,0.006814868,0.009939342,0.492941482,31950,1,0.225251225,8.20875829690567e-06,CAMLG,0.307204634
351,-0.024602587,0.009989095,0.013785222,32799,1,0.30596813,1.94747323226795e-09,CAMSAP1,1.860586242
352,-0.021508237,0.010471522,0.039985312,36401,1,0.590479967,1.54126715257332e-06,CANT1,1.398099515
353,-0.058116466,0.010346981,1.95997225683936e-08,36330,1,0.043402901,3.62212348689125e-10,CAPG,7.707750076
354,0.068508505,0.010000048,7.47285713548004e-12,32702,1,0.097446543,0.024090924,CAPN3,11.12651332
355,0.046786698,0.00938239,6.17484672557703e-07,32796,3,0.001732958,5.84844284285661e-145,CAPS,6.209373818
356,-0.026793846,0.010445702,0.010319849,35813,1,0.526381331,1.59418430472386e-40,CARHSP1,1.986326672
357,-0.042128594,0.0098295,1.82505092696815e-05,31950,1,0.152285037,0.000512872,CASC3,4.738725012
358,-0.03467668,0.010554324,0.00101884,35813,1,0.491867401,0.724449313,CASP1,2.991894025
359,-0.032644115,0.010598051,0.002070185,35813,1,0.468321783,0.002307105,CASP10,2.683990817
360,-0.033066748,0.010881688,0.002377286,36491,1,0.509636161,0.638942446,CASP2,2.623918542
361,-0.029215074,0.011093231,0.008452159,36849,1,1.154890878,0.959322094,CASP3,2.073032336
362,-0.004011131,0.009938139,0.686502304,32262,1,0.09052408,2.93857007784043e-16,CASP4,0.163358001
363,-0.041693816,0.010010603,3.12196087726567e-05,32796,1,0.125487452,7.67230506549781e-09,CASP7,4.505572544
364,-0.018897143,0.010927257,0.083753383,36759,1,2.057638163,1.28925681458732e-18,CASP8,1.076997644
365,-0.00810965,0.009915499,0.413434,31885,1,0.057770121,0.035094265,CASP9,0.38359381
366,0.009929987,0.009916997,0.316684644,31776,1,0.058826,0.007032722,CASQ2,0.499372994
367,-0.005240614,0.009630261,0.586320023,32341,1,0.015250417,1.00321022701783e-101,CAT,0.231865274
368,-0.050542441,0.010652267,2.09546202736087e-06,36397,1,0.144254631,1.69180552221341e-12,CBLIF,5.678720205
369,0.002578535,0.009879049,0.794086165,31803,1,0.037164341,0.32207336,CBLN1,0.100132371
370,-0.110151524,0.010942355,8.33765467078209e-24,36880,1,0.456117995,0.00720823,CBLN4,23.0789561
371,-0.061419481,0.009624096,1.77360581981751e-10,32004,2,0.035600352,9.44309652087898e-48,CBS,9.751142895
372,0.020570687,0.00988318,0.037406802,31776,1,0.135137763,0.045589475,CBX2,1.42704942
373,-0.041620538,0.010703597,0.000101061,36327,1,0.191406817,3.78730137177775e-12,CC2D1A,3.995418082
374,-0.015707281,0.009977627,0.11543927,32796,1,0.09893887,5.85239427070338e-11,CCAR2,0.937646429
375,-0.024667164,0.010034464,0.01396696,32702,1,0.080013805,0.872918396,CCDC134,1.854898103
376,-0.001317263,0.00994924,0.894670017,31950,1,0.090603366,0.225378361,CCDC28A,0.048337117
377,-0.022691439,0.009985914,0.023072137,32799,1,0.073878534,2.34250406425164e-17,CCDC50,1.636912176
378,-0.089776032,0.009576309,7.3157310907622e-21,36448,1,0.080610333,2.31499817502671e-05,CCDC80,20.13574227
379,-0.098481399,0.00960672,1.27467535670909e-24,32004,1,0.021978635,2.69548527771397e-78,CCER2,23.89460041
380,-0.069569419,0.010341415,1.75406260148653e-11,36881,1,0.864910839,1.58664077911019e-14,CCL11,10.75595491
381,-0.032637943,0.010851998,0.002635394,36816,1,0.885834103,0.002299016,CCL13,2.579154418
382,-0.050287422,0.010467867,1.56162375445591e-06,36326,1,0.199110782,6.19633747273772e-08,CCL14,5.806423593
383,-0.064960433,0.010543152,7.28562111099074e-10,36849,1,0.716336169,4.00956801897881e-25,CCL15,9.137533418
384,-0.066871085,0.010033349,2.68606881444148e-11,36849,1,0.385782095,4.00914340218848e-30,CCL16,10.57088287
385,-0.056050351,0.010598802,1.24125174061936e-07,36398,1,0.460605628,0.04959125,CCL17,6.906140129
386,-0.04913551,0.009914753,7.23613998947415e-07,35928,1,0.117534573,8.49723044363065e-60,CCL18,6.14049304
387,-0.12041408,0.010676143,1.86685181650766e-29,36824,1,1.059087394,1.86945360782248e-70,CCL19,28.72889015
388,-0.005167039,0.010526405,0.623525218,36265,1,0.724469853,1.97400563632397e-05,CCL2,0.205145977
389,-0.155684133,0.010488308,1.06570924261235e-49,36881,1,0.47892285,1.44957023155221e-48,CCL20,48.97236127
390,-0.072562565,0.010604929,7.91312794349052e-12,36653,1,1.12269425,0.342626776,CCL21,11.10165181
391,-0.103766082,0.010029016,4.70079758653403e-25,36147,1,0.068991528,3.30829702345468e-06,CCL22,24.32782845
392,-0.035601258,0.010289834,0.000541096,36653,1,1.25495702,0.001923712,CCL23,3.266725783
393,-0.008668691,0.010678075,0.416899366,36587,1,0.289528512,0.001329537,CCL24,0.379968766
394,-0.0427146,0.010709981,6.66772653716491e-05,36881,1,0.464570007,1.41187110444471e-13,CCL25,4.17602222
395,-0.034113768,0.01066182,0.001377268,36491,1,1.208928237,1.65723877074086e-07,CCL26,2.860981502
396,-0.031933336,0.010223454,0.001788315,36448,1,0.055608901,9.24667843125164e-07,CCL27,2.747555966
397,-0.05034964,0.010520608,1.70966713395406e-06,36359,1,1.603713648,6.86456978273349e-22,CCL28,5.767088437
398,-0.072340547,0.009922003,3.14082199007013e-13,36491,1,0.827404703,5.60385753757817e-64,CCL3,12.50295668
399,-0.058349709,0.010569886,3.40578624132968e-08,36534,1,2.822374586,1.22529030593837e-30,CCL4,7.467782613
400,-0.046704406,0.010759285,1.42315901024214e-05,36563,1,0.888372969,0.166002309,CCL5,4.846746573
401,-0.059323696,0.009895179,2.05125921501307e-09,36491,1,0.155740457,4.23130903849995e-72,CCL7,8.687979455
402,-0.050280232,0.01086084,3.67804186390733e-06,36825,1,0.218464808,0.022140235,CCL8,5.434383332
403,-0.046008221,0.010535397,1.26304411666051e-05,36402,1,1.145137101,0.00015569,CCN1,4.89858148
404,-0.043750438,0.010761706,4.8054589156075e-05,36465,1,0.785282543,9.12048385597955e-30,CCN2,4.318265131
