coding,beta,se,pvalue,n,outlier_count,outlier_pvalue,heteroscedasticity_pvalue,protein,-LOG10P
289,0.002447852,0.011338411,0.829075191,23351,1,0.377079401,0.77013437,BSND,0.08140608
290,-0.017449759,0.012411839,0.159766339,27216,1,0.200440769,6.77E-21,BST1,0.796514716
291,-0.040945791,0.01202567,0.000662922,27216,1,1.196037077,5.36E-10,BST2,3.178537721
292,0.001164908,0.011951996,0.922357405,26511,1,1.307274466,9.08E-06,BTC,0.035100761
293,-0.005706713,0.011217406,0.610941014,24232,1,0.072053411,0.780026109,BTD,0.214000719
294,-0.021631807,0.011296061,0.055506414,23351,1,0.185461634,0.007873729,BTLA,1.255656831
295,-0.005414598,0.011421732,0.635460677,24065,1,0.069649956,0.000231109,BTN1A1,0.196911319
296,-0.08705246,0.011754905,1.34E-13,27100,1,0.333260972,0.601125247,BTN2A1,12.87181073
297,-0.069492337,0.012112613,9.73E-09,26957,1,2.084563118,0.022976159,BTN3A2,8.011922547
298,0.002058272,0.011284745,0.855274979,23351,1,0.108993377,0.146471053,BTNL10,0.067894233
299,-0.111351506,0.011489252,3.56E-22,26501,1,0.092977594,4.33E-17,C19orf12,21.44896725
300,-0.003819798,0.011275578,0.73478801,23437,1,0.026093761,8.58E-05,C1GALT1C1,0.133837939
301,-0.072861094,0.012329719,3.47E-09,27157,1,1.139112064,0.001824152,C1QA,8.459074225
302,-0.018513649,0.011406656,0.104590325,24221,1,0.068236691,0.000386,C1QBP,0.980508486
303,-0.001404014,0.01072912,0.895887066,23501,2,0.002402238,2.68E-40,C1QL2,0.047746733
304,-0.004038844,0.012078272,0.738088457,27022,1,1.599066978,0.000458854,C1QTNF1,0.131891587
305,-0.026189234,0.011223847,0.019637779,23689,1,0.184873006,0.000129038,C1QTNF5,1.706907643
306,-0.032615924,0.011402188,0.004233396,24221,1,0.248059397,0.039960691,C1QTNF6,2.37331109
307,0.174773548,0.011188339,9.84E-55,23646,2,0.029858089,0.356934768,C1QTNF9,54.00721027
308,-0.041854528,0.011027417,0.000147707,24232,1,0.024284086,1.49E-11,C1R,3.830599644
309,-0.060016843,0.010648076,1.76E-08,24187,1,0.113225901,2.67E-10,C1RL,7.755541139
310,-0.048805013,0.010982662,8.88E-06,24232,1,0.000774739,1.00E-10,C1S,5.051753984
311,-0.057395182,0.011690281,9.18E-07,26975,1,0.080124237,0.001044787,C2,6.037287743
312,-0.022175247,0.012077969,0.066367698,26458,1,0.23516766,0.03371353,C2CD2L,1.178043248
313,-0.036351149,0.011245919,0.001229298,23599,1,0.328188289,2.95E-05,C2orf69,2.910342928
314,-0.069501692,0.010031668,4.37E-12,22949,3,0.008072652,2.55E-149,C3,11.35910209
315,-0.042587403,0.01176143,0.000294072,27136,1,0.089983534,0.046947566,C4BPB,3.531545713
316,-0.050543097,0.011180263,6.19E-06,24232,1,0.023397754,1.12E-18,C5,5.208206237
317,-0.063888215,0.010906721,4.76E-09,23637,1,0.031372307,0.023723752,C7,8.322792081
318,-0.013955093,0.011311474,0.217322475,24194,1,0.094456235,0.010541759,C7orf50,0.662895358
319,0.01420785,0.011173134,0.203524546,24232,1,0.056510588,1.09E-10,C8B,0.691383206
320,-0.030131285,0.011021374,0.00626354,24220,1,0.004839789,8.63E-17,C9,2.20318014
321,-0.005434271,0.011385087,0.633142278,24124,1,0.181807272,4.13E-29,C9orf40,0.198498685
322,-0.026529621,0.011804266,0.024618851,26366,1,0.158500611,5.25E-56,CA1,1.60873222
323,0.020503619,0.012035566,0.088470229,26511,1,0.528623403,2.76E-09,CA11,1.053202851
324,-0.03055208,0.012228575,0.012480843,26960,1,0.478569834,0.033662384,CA12,1.903756083
325,-0.004805952,0.012276113,0.695439578,26843,1,0.982885211,0.489691236,CA13,0.157740597
326,0.344061146,0.011074741,2.88E-208,27259,1,0.051626841,9.61E-09,CA14,207.5402093
327,-0.035992919,0.012076538,0.002881289,26954,1,0.848611509,6.41E-42,CA2,2.540413132
328,-0.004399902,0.01219079,0.718161931,27192,1,0.602364985,4.14E-40,CA3,0.14377762
329,0.185625211,0.012113326,8.78E-53,27233,1,1.320926734,0.801304217,CA4,52.05660663
330,-0.09924614,0.01119204,7.94E-19,26518,1,0.4536057,3.63E-75,CA5A,18.10039166
331,0.217607283,0.011254335,9.84E-83,26958,3,0.006287461,0.000581741,CA6,82.00679545
332,-0.00313049,0.011345402,0.782607409,23799,1,0.17566848,0.02436983,CA7,0.106456045
333,-0.006712412,0.011247281,0.550644586,23501,1,0.056034728,0.004888171,CA8,0.259128626
334,-0.020789609,0.012149026,0.087052601,27259,1,0.516422458,2.34E-08,CA9,1.060218249
335,-0.027631431,0.011299226,0.014475344,23599,1,0.030429198,0.747012975,CABP2,1.83937112
336,-0.004024088,0.011307393,0.721932793,23442,1,0.312090182,0.24449277,CACNA1C,0.141503231
337,0.018414219,0.011246654,0.101579893,23437,1,0.252093139,1.15E-07,CACNA1H,0.993192248
338,-0.01826615,0.011321758,0.106678291,23442,1,0.195494498,0.016871198,CACNB1,0.97192395
339,-0.020224199,0.011353139,0.074863713,24221,1,0.262557459,0.076320326,CACNB3,1.125728638
340,-0.009379949,0.011225105,0.403375808,23637,1,0.053945601,0.001159401,CACYBP,0.394290151
341,-0.01351021,0.011312194,0.232370699,23599,1,0.629486091,0.254283131,CADPS,0.633818636
342,-0.076050389,0.011816533,1.25E-10,26960,1,0.018096081,0.001038295,CALB1,9.903851323
343,-0.070045672,0.010992235,1.89E-10,26501,1,0.032420943,1.70E-09,CALB2,9.72286743
344,-0.012061676,0.00978359,0.217643418,26799,1,0.173560476,4.12E-69,CALCA,0.662254462
345,-0.008166368,0.011170835,0.464759584,24194,1,0.003934437,1.01E-39,CALCB,0.332771646
346,0.003100815,0.012454741,0.803388457,27171,1,0.760798827,3.28E-11,CALCOCO1,0.095074412
