coding,beta,se,pvalue,n,protein,-Log10P
1777,0.00129781251702239,0.00517655167735697,0.802044772108019,8151,MTSS2,0.0958013876550733
1778,0.0072028650364888,0.005022482415316,0.151575669343097,8047,MTUS1,0.819370505287476
1779,0.00171014982069606,0.00522997293760472,0.743682750761085,9211,MUC13,0.128612291574442
1780,0.00235436195065691,0.00548051031843074,0.667505229045953,9340,MUC16,0.175545327810716
1781,0.0052612562708957,0.00513294839957136,0.305394920036048,8204,MUC2,0.515138191309269
1782,0.00167295081133951,0.00512416695609715,0.74406798233656,7913,MUCL3,0.128387382996008
1783,0.0156361045912022,0.00512318144916724,0.0022794681970094,9225,MVK,2.64216646266784
1784,-0.0467151358120531,0.00431496357154115,3.98223616419234e-27,8010,MXRA8,26.399872987964
1785,-0.028918192326012,0.00475380522968118,1.23132281060472e-09,8186,MYBPC1,8.90962807502516
1786,0.00266018003877644,0.00486808002362564,0.58476944907657,7983,MYBPC2,0.233015324908008
1787,0.00142691034799045,0.00526962928902229,0.786567067076615,8182,MYCBP2,0.104264241102364
1788,0.00457085473406751,0.00519763868853905,0.379204946693727,8186,MYDGF,0.421126005965361
1789,0.00347172641925874,0.00505848912915349,0.492533367232641,7950,MYH4,0.307564342396543
1790,-0.000783739708463665,0.00509129469364658,0.877663176195146,7913,MYH7B,0.0566721228018226
1791,0.00904924211241044,0.00514125509085236,0.0784242566642643,8204,MYH9,1.10554958902344
1792,-0.00175542535655266,0.00502778250415991,0.72698968398987,7950,MYL1,0.138471751751776
1793,-0.0402620626532598,0.00471396273761913,1.57768105373294e-17,7983,MYL3,16.8019807898492
1794,0.00633024256008017,0.00503486699825376,0.208688755527968,7983,MYL4,0.680500950760689
1795,0.00663568300736415,0.00514337049151205,0.197038518492124,7975,MYL6B,0.705448866562347
1796,-0.00614528343433028,0.00486466577452252,0.206536761875176,7975,MYLPF,0.685002636217818
1797,0.00365351590459497,0.00514341260174079,0.477520329085675,8182,MYO6,0.321008134819927
1798,0.00722408065664853,0.00542865572604835,0.183310471185121,9225,MYO9B,0.736812726265118
